GEO.id,GEO.display-label,NAICS.id,NAICS.display-label,REVENUE (k),YEAR.id,ESTAB
8610000US06001,"ZIP 06001 (Avon, CT)",453,Miscellaneous store retailers,4750,2012,10
8610000US06001,"ZIP 06001 (Avon, CT)",4532,"Office supplies, stationery, and gift stores",1750,2012,5
8610000US06001,"ZIP 06001 (Avon, CT)",45321,Office supplies and stationery stores,375,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",453210,Office supplies and stationery stores,375,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",45322,"Gift, novelty, and souvenir stores",1375,2012,4
8610000US06001,"ZIP 06001 (Avon, CT)",453220,"Gift, novelty, and souvenir stores",1375,2012,4
8610000US06001,"ZIP 06001 (Avon, CT)",4539,Other miscellaneous store retailers,3000,2012,5
8610000US06001,"ZIP 06001 (Avon, CT)",45391,Pet and pet supplies stores,1375,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",453910,Pet and pet supplies stores,1375,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",45399,All other miscellaneous store retailers,1625,2012,3
8610000US06001,"ZIP 06001 (Avon, CT)",453991,Tobacco stores,125,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",453998,All other miscellaneous store retailers (except tobacco stores),1500,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",454,Nonstore retailers,0,2012,2
8610000US06001,"ZIP 06001 (Avon, CT)",4541,Electronic shopping and mail-order houses,0,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",45411,Electronic shopping and mail-order houses,0,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",454111,Electronic shopping,0,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",4543,Direct selling establishments,0,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",45439,Other direct selling establishments,0,2012,1
8610000US06001,"ZIP 06001 (Avon, CT)",454390,Other direct selling establishments,0,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",44-45,Retail trade,46375,2012,63
8610000US06002,"ZIP 06002 (Bloomfield, CT)",441,Motor vehicle and parts dealers,5750,2012,7
8610000US06002,"ZIP 06002 (Bloomfield, CT)",4411,Automobile dealers,1000,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",44112,Used car dealers,1000,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",441120,Used car dealers,1000,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",4412,Other motor vehicle dealers,375,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",44122,"Motorcycle, boat, and other motor vehicle dealers",375,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",441228,"Motorcycle, ATV, and all other motor vehicle dealers",375,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",4413,"Automotive parts, accessories, and tire stores",4375,2012,5
8610000US06002,"ZIP 06002 (Bloomfield, CT)",44131,Automotive parts and accessories stores,3000,2012,3
8610000US06002,"ZIP 06002 (Bloomfield, CT)",441310,Automotive parts and accessories stores,3000,2012,3
8610000US06002,"ZIP 06002 (Bloomfield, CT)",44132,Tire dealers,1375,2012,2
8610000US06002,"ZIP 06002 (Bloomfield, CT)",441320,Tire dealers,1375,2012,2
8610000US06002,"ZIP 06002 (Bloomfield, CT)",442,Furniture and home furnishings stores,375,2012,1
8610000US06002,"ZIP 06002 (Bloomfield, CT)",4422,Home furnishings stores,375,2012,1
