GEO.id,INCOME.aggregate
8600000US01923,1004542700
8600000US01929,142442700
8600000US01930,1048848500
8600000US01937,
8600000US01938,574352300
8600000US01940,540506200
8600000US01944,354694100
8600000US01945,1136679500
8600000US01949,292889800
8600000US01950,834160000
8600000US01951,155669300
8600000US01952,298169400
8600000US01960,1727313500
8600000US01966,302550200
8600000US01969,229340900
8600000US01970,1274500200
8600000US01982,326540400
8600000US01983,315266300
8600000US01984,248863300
8600000US01985,232157100
8600000US02019,570603200
8600000US02021,956444700
8600000US02025,473859400
8600000US02026,1013456800
8600000US02030,469163800
8600000US02032,131735200
8600000US02035,718618000
8600000US02038,1265370100
8600000US02043,1274682700
8600000US02045,440507300
8600000US02047,4915800
8600000US02048,941331700
8600000US02050,1083572700
8600000US02052,670732400
8600000US02053,553377000
8600000US02054,315701400
8600000US02056,477268300
8600000US02061,499489700
8600000US02062,1034570400
8600000US02066,842317600
8600000US02067,943594600
8600000US02071,45067500
8600000US02072,913871900
8600000US02081,826866400
8600000US02090,892810300
8600000US02093,494701800
8600000US02108,320890900
8600000US02109,376786000
8600000US02110,225504100
8600000US02111,424071800
8600000US02113,371754200
8600000US02114,758998000
8600000US02115,564689600
8600000US02116,1706562200
8600000US02118,1125791600
8600000US02119,432661000
8600000US02120,207163700
8600000US02121,456064100
8600000US02122,551334700
8600000US02124,1081990600
8600000US02125,664833200
8600000US02126,527923900
8600000US02127,1329107300
8600000US02128,906588100
8600000US02129,942698600
8600000US02130,1513688200
8600000US02131,853939400
8600000US02132,1161834100
8600000US02134,477731600
8600000US02135,1150542100
8600000US02136,770961700
8600000US02138,1904653000
8600000US02139,1460010900
8600000US02140,887344100
8600000US02141,502589400
8600000US02142,175191200
8600000US02143,868292400
8600000US02144,916675900
8600000US02145,660818000
8600000US02148,1546334700
8600000US02149,980162900
8600000US02150,651877300
8600000US02151,1236616600
8600000US02152,650498800
8600000US02155,1917843800
8600000US02163,34309100
8600000US02169,1750137500
8600000US02170,575992500
8600000US02171,653512500
8600000US02176,1104385100
8600000US02180,817713700
8600000US02184,1269810100
8600000US02186,1230432000
8600000US02188,505240000
8600000US02189,470596200
8600000US02190,640806700
8600000US02191,286395600
8600000US02199,192116000
8600000US02203,
8600000US02210,172637600
8600000US02215,405025000
8600000US02301,1235216200
8600000US02302,756766200
8600000US02322,138013500
8600000US02324,779781400
8600000US02330,337193700
8600000US02332,874544300
8600000US02333,436110600
8600000US02338,258366600
8600000US02339,552814400
8600000US02341,325258900
8600000US02343,328211600
8600000US02346,699416100
8600000US02347,378770500
8600000US02351,508387700
8600000US02356,520579200
8600000US02359,650678200
8600000US02360,1927194500
8600000US02364,468775300
8600000US02366,
8600000US02367,109581000
8600000US02368,908907500
8600000US02370,513997300
8600000US02375,368065800
8600000US02379,222502900
8600000US02382,452389400
8600000US02420,976986200
8600000US02421,1214929400
8600000US02445,1370453000
8600000US02446,1644572200
8600000US02451,708484600
8600000US02452,415761000
8600000US02453,935868000
8600000US02458,641488300
8600000US02459,1243331300
8600000US02460,504925500
8600000US02461,436908900
8600000US02462,96061800
8600000US02464,140516300
8600000US02465,817424600
8600000US02466,422308600
8600000US02467,1171725400
8600000US02468,456939400
8600000US02472,1366473000
8600000US02474,1240408900
8600000US02476,842028100
8600000US02478,1375267400
8600000US02481,1317366200
8600000US02482,657619300
8600000US02492,1250225500
8600000US02493,1101640200
8600000US02494,490234700
8600000US02532,374346700
8600000US02534,37661600
8600000US02535,56529300
8600000US02536,634062200
8600000US02537,223195800
8600000US02538,77356800
8600000US02539,128350800
8600000US02540,391807600
8600000US02542,19669400
8600000US02543,65396900
8600000US02553,10144600
8600000US02554,450565400
8600000US02556,129527800
8600000US02557,120692200
8600000US02558,46093000
8600000US02559,131474500
8600000US02561,15732000
8600000US02562,101735600
8600000US02563,362380200
8600000US02564,11858900
8600000US02568,91174600
8600000US02571,305335300
8600000US02575,80216600
8600000US02576,122458800
8600000US02584,
8600000US02601,304050300
8600000US02630,73403300
8600000US02631,339587600
8600000US02632,390269000
8600000US02633,194543000
8600000US02635,152070400
8600000US02637,2079900
8600000US02638,129673800
8600000US02639,85150800
8600000US02641,22776200
8600000US02642,172298200
8600000US02644,125088200
8600000US02645,303457500
8600000US02646,83667600
8600000US02647,7154500
8600000US02648,293535900
8600000US02649,459853100
8600000US02650,56106100
8600000US02652,42427100
8600000US02653,253451300
8600000US02655,192399900
8600000US02657,131565400
8600000US02659,26930000
8600000US02660,164631200
8600000US02664,301252000
8600000US02666,30434800
8600000US02667,131672800
8600000US02668,147396600
8600000US02669,9237300
8600000US02670,39641900
8600000US02671,45695700
8600000US02672,2300200
8600000US02673,257842100
8600000US02675,254210300
8600000US02702,133115000
8600000US02703,1285997200
8600000US02713,2691400
8600000US02715,90848100
8600000US02717,147610100
8600000US02718,192493100
8600000US02719,458185000
8600000US02720,715504400
8600000US02721,496189100
8600000US02723,262322200
8600000US02724,312964000
8600000US02725,70420100
8600000US02726,495527400
8600000US02738,216803300
8600000US02739,230142800
8600000US02740,878931600
8600000US02743,302822700
8600000US02744,198163300
8600000US02745,631876100
8600000US02746,225138500
8600000US02747,535771400
8600000US02748,482865600
8600000US02760,922370900
8600000US02762,314904700
8600000US02763,60720300
8600000US02764,133673000
8600000US02766,551880600
8600000US02767,447481300
8600000US02769,402892700
8600000US02770,189028200
8600000US02771,455257200
8600000US02777,528802100
