GEO.id,RACE.white,RACE.black,RACE.native,RACE.asian,RACE.pacific,RACE.other,RACE.two
8600000US01529,3012,52,0,14,0,13,77
8600000US01531,1076,2,0,3,0,3,0
8600000US01532,12587,149,0,1183,0,175,313
8600000US01534,4987,36,0,100,0,15,30
8600000US01535,4491,50,0,0,0,3,137
8600000US01536,6135,223,0,566,17,109,106
8600000US01537,2130,0,0,56,0,28,120
8600000US01540,10827,55,32,79,0,11,233
8600000US01541,3237,78,0,60,0,48,0
8600000US01542,1577,13,18,15,0,32,0
8600000US01543,7432,128,0,298,0,54,55
8600000US01545,27646,765,30,5685,0,353,934
8600000US01550,13687,496,7,385,0,1627,573
8600000US01560,3349,48,0,793,0,0,100
8600000US01561,232,38,0,13,0,0,10
8600000US01562,11107,78,53,38,0,188,249
8600000US01564,7603,82,18,25,0,29,51
8600000US01566,5930,12,17,165,0,17,0
8600000US01568,6982,16,0,80,41,1,247
8600000US01569,13099,93,0,119,0,12,99
8600000US01570,14995,484,0,400,0,344,537
8600000US01571,10634,264,33,63,15,10,382
8600000US01581,13470,530,45,3643,0,41,616
8600000US01583,6852,435,14,30,0,216,80
8600000US01585,4268,96,0,94,0,0,23
8600000US01588,9984,26,0,40,0,89,272
8600000US01590,8780,11,0,45,0,0,0
8600000US01602,19403,1958,9,876,0,267,672
8600000US01603,15124,1317,84,1726,0,540,332
8600000US01604,27163,4047,42,2617,10,742,1223
8600000US01605,18220,3920,32,1272,0,1404,1399
8600000US01606,16616,2466,9,419,0,129,260
8600000US01607,6231,1189,91,385,0,171,198
8600000US01608,2191,553,38,147,0,85,753
8600000US01609,16623,2460,101,1058,50,500,779
8600000US01610,16328,2625,30,1597,0,2359,887
8600000US01611,2313,70,14,11,0,0,38
8600000US01612,4191,201,0,95,0,279,80
8600000US01701,25869,2024,90,2098,0,620,443
8600000US01702,25009,3741,54,3116,7,4487,1286
8600000US01718,244,0,0,123,0,0,0
8600000US01719,4115,37,6,747,0,24,88
8600000US01720,16583,233,61,3792,0,141,572
8600000US01721,14900,401,0,769,0,366,151
8600000US01730,11349,441,0,1280,0,134,311
8600000US01731,1505,194,0,38,0,14,114
8600000US01740,4624,9,0,133,0,18,121
8600000US01741,4275,29,0,431,0,10,125
8600000US01742,16365,504,12,851,0,188,389
8600000US01745,287,0,0,54,0,0,24
8600000US01746,12840,125,0,325,145,66,167
8600000US01747,5782,9,0,119,0,1,0
8600000US01748,14134,3,9,628,0,49,159
8600000US01749,17550,132,11,362,0,202,820
8600000US01752,31756,1155,18,1914,0,1105,2543
8600000US01754,9272,30,0,277,0,93,479
8600000US01756,5634,16,28,69,0,12,68
8600000US01757,24915,465,220,704,6,1166,644
8600000US01760,28590,967,45,2362,0,350,507
8600000US01770,3850,0,0,244,0,10,24
8600000US01772,7933,152,0,1087,0,71,137
8600000US01773,4256,27,0,253,0,47,89
8600000US01775,6223,26,13,199,0,0,157
8600000US01776,15651,119,0,1305,0,148,489
8600000US01778,11515,87,24,1305,0,23,182
8600000US01801,33117,1521,7,2756,0,770,561
8600000US01803,19525,679,0,3546,12,93,517
8600000US01810,28293,418,26,3631,49,341,627
8600000US01821,28277,406,12,1524,0,180,170
8600000US01824,22492,85,0,1548,0,194,284
8600000US01826,27042,564,9,943,0,541,456
8600000US01827,3060,0,0,44,0,11,75
8600000US01830,20655,804,118,182,0,2913,557
8600000US01832,18582,607,125,340,0,2207,463
8600000US01833,8018,24,6,26,5,10,114
8600000US01834,6391,10,0,129,0,0,0
8600000US01835,12101,588,22,363,0,223,103
8600000US01840,1417,386,49,33,0,2432,176
8600000US01841,14015,2350,153,685,0,28221,2123
8600000US01843,10713,1716,10,1311,0,9760,781
8600000US01844,37776,1121,30,1837,0,5658,816
8600000US01845,25305,395,58,1357,0,599,400
8600000US01850,10506,1509,0,1269,19,1872,749
8600000US01851,13354,2144,112,10880,43,2346,525
8600000US01852,21938,2366,106,3806,78,3785,1237
8600000US01854,17491,1427,68,5540,6,2976,605
8600000US01860,6329,30,0,0,0,0,9
8600000US01862,9397,102,15,430,0,213,228
8600000US01863,7779,28,0,892,0,584,45
8600000US01864,14034,81,0,531,0,43,230
8600000US01867,22561,281,17,820,0,213,360
8600000US01876,26743,507,61,866,0,113,344
8600000US01879,10668,75,0,536,0,63,142
8600000US01880,23575,111,0,981,0,58,181
8600000US01886,18826,99,16,2417,20,272,457
8600000US01887,20820,264,0,864,0,47,397
8600000US01890,18913,82,0,2061,0,64,317
8600000US01901,881,431,17,104,0,328,386
8600000US01902,24835,6038,107,4236,20,6636,2782
8600000US01904,15741,1388,0,320,0,935,381
8600000US01905,13901,3697,43,1748,0,4340,1050
8600000US01906,24713,345,0,955,0,433,315
8600000US01907,13249,212,25,217,0,184,124
8600000US01908,3238,100,0,12,0,77,11
8600000US01913,15815,60,0,128,0,101,240
8600000US01915,37511,682,30,709,16,239,561
8600000US01921,7782,0,0,113,0,30,65
8600000US01922,2985,28,0,0,0,0,0
8600000US01923,25311,331,26,524,0,219,96
8600000US01929,3381,11,0,37,0,23,68
8600000US01930,27723,276,31,172,0,262,473
8600000US01937,53,0,0,0,0,8,0
8600000US01938,12910,55,23,97,0,59,127
8600000US01940,11261,56,0,572,14,1,115
8600000US01944,5010,0,0,0,0,49,99
8600000US01945,19335,94,32,136,0,36,246
8600000US01949,7608,225,43,526,0,556,34
8600000US01950,16705,112,21,208,0,124,290
8600000US01951,3539,70,0,0,0,34,30
8600000US01952,8148,42,0,0,0,26,73
8600000US01960,45728,872,17,1283,3,2682,451
8600000US01966,6833,97,10,9,0,52,17
8600000US01969,5744,101,0,12,0,0,0
8600000US01970,33925,2814,154,1159,0,2104,1344
8600000US01982,7058,173,0,559,0,11,141
8600000US01983,5799,0,13,231,8,0,76
8600000US01984,4674,55,0,75,0,4,84
8600000US01985,4261,2,0,0,0,0,0
8600000US02019,15438,302,13,215,0,127,209
8600000US02021,18639,1538,0,920,0,108,391
8600000US02025,7696,5,0,0,0,12,43
8600000US02026,22034,1253,13,661,0,290,465
8600000US02030,5085,32,12,374,0,12,93
8600000US02032,2998,0,0,385,0,153,0
8600000US02035,15881,256,6,640,0,28,53
8600000US02038,29419,354,29,1511,0,137,310
8600000US02043,21140,222,15,467,0,95,197
8600000US02045,9844,112,92,84,0,65,145
8600000US02047,136,0,0,0,0,0,0
8600000US02048,21155,516,9,1036,0,160,315
8600000US02050,24565,38,0,293,0,219,370
8600000US02052,11186,52,38,273,0,333,185
8600000US02053,11852,32,0,566,0,25,267
8600000US02054,7466,0,0,307,0,37,95
8600000US02056,9827,647,13,96,7,427,125
8600000US02061,10111,68,0,241,0,3,78
8600000US02062,24900,792,7,1404,5,1218,254
8600000US02066,17191,138,0,34,0,140,205
8600000US02067,13716,1002,18,2144,0,79,440
8600000US02071,1576,172,0,12,4,158,25
8600000US02072,23364,2718,47,537,0,287,406
8600000US02081,18021,338,0,337,0,35,168
8600000US02090,13574,122,0,606,0,19,295
8600000US02093,10696,111,0,74,0,0,79
8600000US02108,3757,196,8,111,0,69,14
8600000US02109,3822,157,0,127,0,105,66
8600000US02110,1330,22,0,62,0,53,19
8600000US02111,3731,339,36,3076,0,218,216
8600000US02113,6818,137,0,224,0,9,88
8600000US02114,9655,658,87,1252,18,127,136
8600000US02115,20247,2737,39,4345,15,984,811
8600000US02116,16052,1197,53,3421,18,355,222
8600000US02118,13750,4873,95,4542,0,2947,572
8600000US02119,3896,14608,108,446,0,4020,1159
8600000US02120,6402,3340,6,1607,0,1292,570
8600000US02121,2304,19316,224,208,20,4194,535
8600000US02122,8373,7999,62,5223,0,2881,899
8600000US02124,9884,31154,189,3341,0,3764,1535
8600000US02125,10857,9624,115,4528,0,5802,1070
8600000US02126,2256,23254,65,170,161,790,639
8600000US02127,27163,1508,43,1443,0,1955,435
8600000US02128,26547,1745,221,1595,50,2163,9359
8600000US02129,13208,1796,0,1281,0,486,281
8600000US02130,24436,5330,100,1995,0,3425,1580
8600000US02131,16746,7996,482,1007,0,2554,1585
8600000US02132,22694,1396,0,1629,0,643,801
8600000US02134,13815,1353,11,3180,0,1245,874
8600000US02135,29539,1682,87,5669,0,1085,777
8600000US02136,11349,13740,43,572,0,2057,1458
8600000US02138,27111,2282,95,4122,17,485,1549
8600000US02139,23540,5117,128,4662,30,960,1508
8600000US02140,12256,2567,31,2020,0,367,683
8600000US02141,7884,1604,26,2259,14,503,413
8600000US02142,1811,104,1,712,0,117,60
8600000US02143,19197,708,33,3245,0,1261,521
8600000US02144,19919,1577,4,1792,0,562,545
8600000US02145,16322,2965,149,2418,0,1670,629
8600000US02148,33358,8851,123,13237,0,1552,2281
